OTU;taxo1;taxo2;taxo3;taxo4;taxo5;taxo6;taxo7;taxo8;LSA_feb_16;LCL_feb_16;LSC_aug_16;LCT_oct_16;LCL_sep_16;LSA_oct_16;LSC_may_16;LSA_aug_16;LSC_oct_16;LCT_jul_17;LCL_nov_16;LCL_jul_17;LSA_may_17;LSC_feb_17;LCL_sep_17_F;LCL_sep_17;LCT_sep_17;LCT_sep_17_F;LSA_sep_17;LSA_sep_17_F;LSC_24_aug_17;LSC_jul_17;LSC_jul_17_F;LSC_31_aug_17;LSC_31_aug_17_F;LCL_jul_17_F;LCT_jul_17_F;LCL_may_17;LCL_mar_17;LSC_mar_17;LCL_jan_17;LCT_mar_17;LSA_feb_17;LCL_feb_17;LCT_jan_17;LCT_feb_17;LSA_mar_17;LSC_may_17;LSA_jan_17;LSC_jan_17;LCT_may_17;LSC_mar_16;LSA_jul_17
29;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Sediminibacterium;Unclassified;Unclassified;6;52;17;243;17;1;386;26;44;29;35;36;10;46;5;2;46;26;0;1;10;2;4;4;11;11;248;31;17;67;11;54;0;20;332;91;0;516;0;39;91;174;5
20;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Sediminibacterium;Unclassified;Unclassified;235;2836;159;785;403;7;1162;181;484;166;1058;354;760;1159;325;171;64;131;6;5;40;15;55;28;121;548;629;828;486;1365;519;649;24;959;1970;696;15;1130;9;196;413;5781;24
845;Bacteria;Verrucomicrobia;Verrucomicrobiae;Pedospaerales;Pedospaeraceae;SH3-11;Unclassified;Unclassified;0;1;4;0;1;4;0;0;1;0;36;4;0;8;2;5;0;2;5;9;7;1;1;7;10;10;18;3;1;0;18;17;0;1;1;19;0;1;0;9;1;0;0
288;Bacteria;Verrucomicrobia;Verrucomicrobiae;Pedospaerales;Pedospaeraceae;SH3-11;Unclassified;Unclassified;0;56;47;1;90;66;29;36;88;0;482;95;1;154;121;372;0;10;287;320;131;28;149;75;198;522;353;160;13;15;192;333;3;54;86;338;0;17;1;136;2;26;108
304;Bacteria;Verrucomicrobia;Verrucomicrobiae;Pedospaerales;Pedospaeraceae;SH3-11;Unclassified;Unclassified;7;159;78;0;165;141;48;61;138;0;1254;225;4;408;205;650;0;28;616;684;306;39;317;157;349;1441;825;407;45;52;624;845;1;143;196;934;4;48;0;317;9;64;235
598;Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;Oligoflexaceae;Silvanigrella;Unclassified;Unclassified;0;0;2;8;0;0;0;0;0;1;0;0;0;0;10;22;8;0;0;0;0;40;11;12;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
315;Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;Oligoflexaceae;Silvanigrella;Unclassified;Unclassified;0;0;2;5;3;0;7;0;2;2;0;22;1;13;14;14;1;19;0;0;0;2;3;0;3;58;81;0;4;4;2;32;0;6;72;9;5;1;0;3;0;0;0
384;Bacteria;Planctomycetes;Phycispaerae;Phycispaerales;Phycispaeraceae;SM1A02;Unclassified;Unclassified;0;0;8;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;21;12;7;46;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
863;Bacteria;Planctomycetes;Phycispaerae;Phycispaerales;Phycispaeraceae;SM1A02;Unclassified;Unclassified;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;22;9;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;Bacteria;Planctomycetes;Phycispaerae;Phycispaerales;Phycispaeraceae;SM1A02;Unclassified;Unclassified;0;0;36;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;154;43;74;183;206;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
376;Bacteria;Planctomycetes;Phycispaerae;Phycispaerales;Phycispaeraceae;SM1A02;Unclassified;Unclassified;0;0;0;12;1;0;0;1;2;20;0;1;0;0;1;0;244;72;0;0;1;1;0;0;3;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
156;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospraceae;soil_bacterium;Unclassified;Unclassified;0;0;1480;0;1;1;32;0;257;0;2;0;1;326;0;0;0;0;0;0;25;93;79;8;5;0;1;1;0;32;0;0;0;1;0;0;1;10;2;12;0;8;0
442;Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Solitalea;Unclassified;Unclassified;20;48;0;0;74;0;3;0;1;0;23;53;13;1;43;25;0;0;0;0;0;0;0;0;0;112;0;2;0;1;3;0;0;4;0;0;1;0;1;0;0;8;0
355;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Sphaerotilus;Unclassified;Unclassified;0;0;1;0;11;1;0;263;0;0;0;2;0;0;0;6;2;0;7;14;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37
