Family;Genus;Species;Diapo;Volume_code;Volume;LCT_jan_17;LCT_feb_17;LCT_mar_17;LCT_may_17;LCT_jul_17;LCT_sep_17;LCT_oct_16;LCL_jan_17;LCL_feb_17;LCL_mar_17;LCL_may_17;LCL_jul_17;LCL_sep_17;LSA_jan_17;LSA_feb_17;LSA_mar_17;LSA_may_17;LSA_jul_17;LSA_sep_17;LSA_oct_16;LSC_jan_17;LSC_feb_17;LSC_mar_17;LSC_may_17;LSC_jul_17;LSC_24_aug_17;LSC_31_aug_17;LSC_sep_17
Chrysophyta;Dinobryon;bavaricum;26;Chrysophytes;1840;2.46;0;19.34;203.1;319;54.06;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.34;134.66;48.12;82.02;0
Chrysophyta;Dinobryon;divergens;27;Chrysophytes;2435;25.26;0;124.33;42.96;0;0;32.81;0.96;0;0;23.55;70.94;5.7;0;0;0;0;0;0;0;2.92;0.89;0;0;36.73;39.37;16.4;0
Chrysophyta;Dinobryon ;petiolatum;28;Chrysophytes;39;0;0;0;0;0;59.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.24;4.37;38.28;0
Cyanobacteria;Dolichospermum;planctonicum;29;Unknown_small;1541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.5;21.87;133.79;0;0;0;0;0;0;0;0;0
Chlorophyta;Elakatothrix;unclassified;31;Chlorophytes;123;0;0;0;3.91;0;0;0;0;0;0;11.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Euglenoids;Eutreptia;unclassified;32;Unknown_small;42;0;9.01;17.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.63;0;0;0;0
Dinoflagellates;Borghiella;unclassified;34;Dinoflagellates;211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.29;0;0;0;0;0;0;0;0;0;0;0;0
Chrysophyta;Kephyrion;ampoule;36;Chrysophytes;43;0;0;0;7.81;0;27.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.73;0;49.21;1.9
Chrysophyta;Kephyrion;u;37;Chrysophytes;14;0;0;0;0;12.11;54.06;0;0;0;0;0;0;91.23;0;0;0;0;0;0;0;0;0;0;0;73.45;13.12;21.87;0
Chrysophyta;Mallomonas;caudata;39;Chrysophytes;316;0;0;69.07;7.81;0;0;0;0;0;0;11.78;7.09;22.81;0;0;0;0;21.87;74.33;0;0;0;0;0;48.97;0;0;0
Chrysophyta;Mallomonas;tonsurata;40;Chrysophytes;388;0;0;0;3.91;4.04;0;0;0;0;0;0;0;0;0;0;0;0;43.74;0;0;0;0;0;0;0;17.5;43.74;0
Cyanobacteria;Merismopedia;unclassified;41;Unknown_small;2177;0;0;0;0;0;5.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.37;0;0
Ciliates;Mesodinium;unclassified;42;Ciliates;2453;0;0;1.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.94;0
Chlorophyta;Oocystis;unclassified;44;Chlorophytes;7175;0;0;0;0;0;5.41;0;0;0;0;0;0;5.7;0;0;0;0;0;0;21.87;0;0;1.15;0;0;4.37;0;0
Cyanobacteria;Pseudanabaena;unclassified;47;Unknown_small;152;0;0;0;0;0;0;0;0;0;0;0;0;5.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
